pure_date,日期,訊號燈,開盤價,收盤價,美股收盤,漲/跌幅,美股漲/跌,成交量,美股成交,最高價,最低價,本益比,月線,季線,半年線,年線,外資進出,投信進出,自營商進出,三大法人,融資餘額(張),融資增減,融券餘額(張),融券增減,券資比(%),券賣餘額,券賣出量,券賣還券,vol_20d_sum,借券賣出變動比,融資VS個股,融資個股倍數,成交量倍數,外資買賣力度,外資累積,三大法人累積,融資改變率
2026-08-05,2026-08-05(三),,2385.0,2405.0,419.9,+3.66%,+0.65%,36782301,3665027,2415.0,2370.0,32.33,2369.0,2352.42,2157.33,1792.83,12251238,-1204507,-1099016,9947715,29226.0,-1539.0,62.0,15.0,0.21%,16124514,584000,1367000,848071977.0,-1.8465413814752185,,,,,,,
2026-08-04,2026-08-04(二),,2335.0,2320.0,417.17,-2.11%,+2.72%,41021199,13899800,2360.0,2310.0,31.19,2370.75,2349.58,2152.08,1787.73,-12429517,433720,-2326919,-14322716,30765.0,762.0,47.0,-54.0,0.15%,16907514,760000,0,842690530.0,1.8037463883686933,,,,,,,
2026-08-03,2026-08-03(一),,2390.0,2370.0,406.11,-2.27%,+0.46%,35209944,12676900,2395.0,2365.0,31.86,2377.75,2349.08,2147.79,1782.75,-9716947,387450,-1587400,-10916897,30003.0,714.0,101.0,-23.0,0.34%,16147514,138000,0,822711249.0,0.33547614711173107,,,,,,,
2026-07-31,2026-07-31(五),,2350.0,2425.0,404.25,+9.98%,+0.23%,69478145,11956100,2425.0,2345.0,32.60,2381.5,2348.08,2143.21,1777.67,13780099,7063889,2724666,23568654,29289.0,-1375.0,124.0,-6.0,0.42%,16009514,243000,1000,820407173.0,0.5899509608505094,,,,,,,
2026-07-30,2026-07-30(四),,2205.0,2205.0,403.31,+0.23%,+7.64%,51372177,17474200,2260.0,2190.0,29.65,2383.5,2345.17,2137.83,1772.29,-3957455,939367,1637533,-1380555,30664.0,-168.0,130.0,-100.0,0.42%,15767514,1316000,5000,786848318.0,3.33228138132717,,,,,,,
2026-07-29,2026-07-29(三),,2260.0,2200.0,374.67,-3.51%,-4.50%,68139691,21700200,2280.0,2180.0,29.58,2398.5,2345.92,2134.08,1767.85,-11210895,1652413,4893242,-4665240,30832.0,-695.0,230.0,117.0,0.75%,14456514,1175000,0,773020611.0,3.0400224347963736,,,,,,,
2026-07-28,2026-07-28(二),,2270.0,2280.0,392.31,-2.98%,-1.70%,45333029,18276300,2305.0,2270.0,30.65,2409.0,2347.17,2130.5,1763.52,-14659332,284295,5123396,-9251641,31527.0,-379.0,113.0,49.0,0.36%,13281514,227000,90000,754421147.0,0.36319236422464707,,,,,,,
2026-07-27,2026-07-27(一),,2330.0,2350.0,399.09,+0.00%,-1.07%,28939466,17932300,2365.0,2330.0,31.59,2413.5,2344.75,2126.17,1758.83,-2661754,566855,1410349,-684550,31906.0,-9.0,64.0,-3.0,0.2%,13144514,59000,0,747221900.0,0.15791828371197364,,,,,,,
2026-07-24,2026-07-24(五),,2355.0,2350.0,403.41,-2.29%,-2.93%,24810509,11525100,2365.0,2345.0,31.59,2413.0,2341.92,2121.08,1753.77,-9636606,549823,305416,-8781367,31915.0,-17.0,67.0,-15.0,0.21%,13085514,131000,252000,772082778.0,-0.3134378940906774,,,,,,,
2026-07-23,2026-07-23(四),,2385.0,2405.0,415.58,+0.21%,-1.34%,28001492,11048800,2405.0,2370.0,32.33,2415.0,2339.67,2116.29,1748.75,-4614430,-943258,38456,-5519232,31932.0,4.0,82.0,-17.0,0.26%,13206514,152000,0,788372226.0,0.3856046547230851,,,,,,,
