日期,大盤指數,訊號燈,大盤改變率,融資VS大盤,融資大盤倍數,台指期近一,成交量金額(億),成交量倍數,成交量(千股),外資進出(億),外資買賣力度,外資累積,投信進出(億),自營商進出(億),三大法人(億),三大法人累積,融資餘額,融資增減,融資改變率,融券餘額,融券增減,券資比(%),外資未平倉(口),外資未平倉維持率,投信未平倉(口),自營商未平倉(口),違約合計(百萬),違約相抵後(百萬),券賣餘額(千股),券賣出量(千股),券賣還券(千股),借券賣出變動比,_is_bottom_10p,_margin_change_raw,_is_3day_big_green
2026-08-04(二 ),股市未開盤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,False,,False
2026-08-03(一 ),43386.41,-,0.62%,大,2.32,43230.00,8855.06,0.87,11427047.94,-191.91,-2.17%,-10942.00,233.25,-206.53,-165.19,-12144.33,5147.55,72.93,1.44%,185322.00,-3002.00,2.03,-90038,109.12%,83900,718,0.00,0.00,-,-,-,-,True,1.4371491123490778,False
2026-07-31(五 ),43119.75,-,7.98%,小,0.35,43678,8877.32,0.87,13813496.58,675.54,7.61%,-10538.62,360.2,-162.6,873.14,-11666.36,5074.63,135.97,2.75%,188324,-15890,2.06,-82515,101.85%,85325,-2377,112.8,12.69,"18,710,863.00","248,425.00","357,847.00",-0.88%,False,2.7531703879789498,False
2026-07-30(四 ),39933.3,高位壓盤,-0.26%,小,9.80,40270,11469.38,1.11,13692579.23,-483.12,-4.21%,-11421.00,139.97,-152.27,-495.42,-12791.09,4938.67,-131.43,-2.59%,204214,-13271,2.35,-81017,97.86%,75857,1996,192.58,63.16,"18,820,286.00","324,006.00","177,735.00",1.19%,False,-2.592251450165776,False
2026-07-29(三 ),40039.18,-,-3.76%,小,1.88,40392,11491.85,1.10,17045019.38,-222.52,-1.94%,-10529.90,57.06,-185.99,-351.45,-11708.56,5070.11,-385.22,-7.06%,217485,-1774,2.48,-82785,100.64%,74742,2552,0.00,0.00,"18,674,025.00","627,591.00","378,342.00",2.02%,False,-7.061325121211288,False
2026-07-28(二 ),41603.36,-,-4.65%,大,0.87,41613,8725.75,0.83,12544360.26,-874.85,-10.03%,-9842.06,16.12,-317.3,-1176.03,-10702.11,5455.35,-231.29,-4.07%,219259,33026,2.41,-82255,104.52%,74886,2588,37.38,1.99,"18,424,792.00","437,341.00","378,160.00",0.49%,False,-4.0672595192583305,False
2026-07-27(一 ),43634.19,-,-0.05%,小,30.76,43907,7476.47,0.71,8980078.81,80.4,1.08%,-8680.31,4.81,-78.57,6.64,-9007.42,5686.63,-83.96,-1.45%,186233,-18521,2.01,-78699,103.20%,74111,1891,0.00,0.00,"18,365,611.00","269,174.00","212,683.00",0.47%,False,-1.4549613558382142,False
2026-07-24(五 ),43654.84,-,-2.67%,大,0.36,43905,8271.3,0.75,9573393.56,-609.5,-7.37%,-9118.50,47.63,-111.51,-673.38,-9363.40,5770.6,-55.67,-0.96%,204754,-3892,2.19,-76260,101.41%,73838,2258,0.00,0.00,"18,309,120.00","276,153.00","531,560.00",-2.05%,False,-0.9555014709264606,False
2026-07-23(四 ),44850.81,-,0.06%,小,-0.61,44930,9306.12,0.82,9701104.1,69.58,0.75%,-9444.74,73.7,41.94,185.22,-9864.31,5826.26,-1.97,-0.03%,208647,2098,2.23,-75198,95.81%,75492,739,1.78,0.22,"18,564,542.00","251,964.00","450,381.00",-1.57%,False,-0.03380094162217068,False
2026-07-22(三 ),44825.78,-,1.34%,小,0.82,44631,10259.58,0.88,11296458,173.44,1.69%,-10431.65,189.03,-23.98,338.49,-10800.94,5828.24,63.27,1.10%,206549,-6065,2.21,-,-,-,-,0.00,0.00,"18,762,959.00","216,565.00","347,257.00",-1.01%,False,1.0974924370680803,False
2026-07-21(二 ),44232.87,-,4.20%,小,0.31,44377,8662.52,0.72,10050212.12,-43.32,-0.50%,-11543.61,171.14,35.07,162.89,-12481.66,5764.96,74.61,1.31%,212614,1752,2.27,-78490,100.20%,75570,1203,223.62,14.09,"18,893,651.00","221,649.00","255,881.00",-0.26%,False,1.3111648472152906,False
2026-07-20(一 ),42449.7,高位壓盤,-0.52%,小,6.20,42641,10414.57,0.85,12566601.51,-60.84,-0.58%,-12326.60,163.22,-80.64,21.74,-13738.97,5690.36,-189.27,-3.22%,210862,-25438,2.27,-78337,90.89%,72446,2974,0.00,0.00,"18,927,883.00","387,983.00","201,550.00",1.38%,False,-3.21908011218393,False
2026-07-17(五 ),42671.27,-,-6.47%,大,0.69,42725,13331.57,1.06,18244071.06,-1883.15,-14.13%,-13022.61,73.47,-821.79,-2631.47,-14689.54,5879.63,-276.13,-4.49%,236300,59678,2.53,-86189,102.06%,75215,4666,12.6,2.74,"18,741,793.00","759,725.00","177,201.00",4.24%,True,-4.485717441875576,False
2026-07-16(四 ),45624.98,-,-0.01%,大,-2.10,45700,9331.81,0.75,10374680.19,-483.35,-5.18%,-10705.50,86.45,-33.58,-430.48,-11542.62,6155.76,1.87,0.03%,176622,3489,1.86,-84453,106.15%,76264,657,0.00,0.00,"18,159,277.00","260,937.00","496,170.00",-1.75%,True,0.03038832048465309,False
